Issue Key,Summary,Reporter,Assignee,Status,Created,Updated,Fixed By,Description,Issue Type
FE-21023,Infra monitoring alert: Metrics have been exceeded for the pod: ui-assembler-67cbdbfcdb-r7hsb and container: ui-assembler,Pranav Maheshwary,Code Monks,Invalid Issue,2025-04-22T15:50:50.453+0530,2025-04-22T16:39:06.135+0530,UptimeSquad,Metrics have been exceeded for the namespace: ui-assembler and workload: ui-assembler and container: ui-assembler by 1.343927556818187 percentage with value: 64.34392755681819 for metric: container_memory_usage_max_percentage at time: 2025-04-22T10:20:03.412906Z.,Bug
FE-21022,Infra monitoring alert: Metrics have been exceeded for the pod: ui-assembler-67cbdbfcdb-qhkmq and container: ui-assembler,Pranav Maheshwary,Code Monks,Invalid Issue,2025-04-22T15:50:49.865+0530,2025-04-22T16:38:53.380+0530,UptimeSquad,Metrics have been exceeded for the namespace: ui-assembler and workload: ui-assembler and container: ui-assembler by 3.0102982954545467 percentage with value: 66.01029829545455 for metric: container_memory_usage_max_percentage at time: 2025-04-22T10:20:03.412311Z.,Bug
FE-21021,Infra monitoring alert: Metrics have been exceeded for the pod: ui-assembler-67cbdbfcdb-nr6d6 and container: ui-assembler,Pranav Maheshwary,Code Monks,Invalid Issue,2025-04-22T15:50:49.297+0530,2025-04-22T16:37:05.733+0530,UptimeSquad,Metrics have been exceeded for the namespace: ui-assembler and workload: ui-assembler and container: ui-assembler by 2.2292258522727337 percentage with value: 65.22922585227273 for metric: container_memory_usage_max_percentage at time: 2025-04-22T10:20:03.411728Z.,Bug
FE-21020,Infra monitoring alert: Metrics have been exceeded for the pod: ui-assembler-67cbdbfcdb-nn9zv and container: ui-assembler,Pranav Maheshwary,Code Monks,Invalid Issue,2025-04-22T15:50:48.795+0530,2025-04-22T16:36:52.490+0530,UptimeSquad,Metrics have been exceeded for the namespace: ui-assembler and workload: ui-assembler and container: ui-assembler by 2.1558948863636402 percentage with value: 65.15589488636364 for metric: container_memory_usage_max_percentage at time: 2025-04-22T10:20:03.411141Z.,Bug
FE-21019,Infra monitoring alert: Metrics have been exceeded for the pod: ui-assembler-67cbdbfcdb-mzqb8 and container: ui-assembler,Pranav Maheshwary,Code Monks,Invalid Issue,2025-04-22T15:50:48.190+0530,2025-04-22T16:36:38.134+0530,UptimeSquad,Metrics have been exceeded for the namespace: ui-assembler and workload: ui-assembler and container: ui-assembler by 1.8774857954545467 percentage with value: 64.87748579545455 for metric: container_memory_usage_max_percentage at time: 2025-04-22T10:20:03.410550Z.,Bug
FE-21018,Infra monitoring alert: Metrics have been exceeded for the pod: ui-assembler-67cbdbfcdb-m2bfb and container: ui-assembler,Pranav Maheshwary,Code Monks,Invalid Issue,2025-04-22T15:50:47.606+0530,2025-04-22T16:36:23.133+0530,UptimeSquad,Metrics have been exceeded for the namespace: ui-assembler and workload: ui-assembler and container: ui-assembler by 1.5422585227272663 percentage with value: 64.54225852272727 for metric: container_memory_usage_max_percentage at time: 2025-04-22T10:20:03.409904Z.,Bug
FE-21017,Infra monitoring alert: Metrics have been exceeded for the pod: ui-assembler-67cbdbfcdb-k2t8r and container: ui-assembler,Pranav Maheshwary,Code Monks,Invalid Issue,2025-04-22T15:50:46.926+0530,2025-04-22T16:36:08.314+0530,UptimeSquad,Metrics have been exceeded for the namespace: ui-assembler and workload: ui-assembler and container: ui-assembler by 1.933416193181813 percentage with value: 64.93341619318181 for metric: container_memory_usage_max_percentage at time: 2025-04-22T10:20:03.409273Z.,Bug
FE-21016,Infra monitoring alert: Metrics have been exceeded for the pod: ui-assembler-67cbdbfcdb-gkz4v and container: ui-assembler,Pranav Maheshwary,Code Monks,Invalid Issue,2025-04-22T15:50:46.404+0530,2025-04-22T16:35:52.317+0530,UptimeSquad,Metrics have been exceeded for the namespace: ui-assembler and workload: ui-assembler and container: ui-assembler by 1.5152698863636402 percentage with value: 64.51526988636364 for metric: container_memory_usage_max_percentage at time: 2025-04-22T10:20:03.408639Z.,Bug
FE-21015,Infra monitoring alert: Metrics have been exceeded for the pod: ui-assembler-67cbdbfcdb-fklnj and container: ui-assembler,Pranav Maheshwary,Code Monks,Invalid Issue,2025-04-22T15:50:45.924+0530,2025-04-22T16:35:32.774+0530,UptimeSquad,Metrics have been exceeded for the namespace: ui-assembler and workload: ui-assembler and container: ui-assembler by 1.4559659090909065 percentage with value: 64.4559659090909 for metric: container_memory_usage_max_percentage at time: 2025-04-22T10:20:03.407974Z.,Bug
FE-21014,Infra monitoring alert: Metrics have been exceeded for the pod: ui-assembler-67cbdbfcdb-f6wc9 and container: ui-assembler,Pranav Maheshwary,Code Monks,Invalid Issue,2025-04-22T15:50:45.444+0530,2025-04-22T16:35:16.954+0530,UptimeSquad,Metrics have been exceeded for the namespace: ui-assembler and workload: ui-assembler and container: ui-assembler by 1.181818181818187 percentage with value: 64.18181818181819 for metric: container_memory_usage_max_percentage at time: 2025-04-22T10:20:03.407302Z.,Bug
FE-20493,"""""Adjusted Previously"""" not displaying on UI on deposit from earning page.",Sachin Dhumale,Sachin Dhumale,Accepted,2025-04-10T17:47:51.557+0530,2025-04-11T11:17:12.590+0530,Avengers,"""""Adjusted Previously"""" not displaying on UI on deposit from earning page.",Transient Bug
FE-20490, last transaction is not reflected upon clicking on refresh button.,Sachin Dhumale,Sachin Dhumale,Accepted,2025-04-10T17:24:24.048+0530,2025-04-11T11:29:04.102+0530,Avengers,last transaction is not reflected upon clicking on refresh button on COD Collection page which is present besides Cash to deposit option & above progress bar.,Transient Bug
FE-20489,Amount to deposit showing blank on UI.,Sachin Dhumale,Sachin Dhumale,Accepted,2025-04-10T17:03:43.092+0530,2025-04-11T11:13:55.063+0530,Avengers,Amount to deposit on earning page showing blank on UI,Transient Bug
FE-20488,"After salary deduction, Payment is successful but showing Date & Time wrongly on UI.",Sachin Dhumale,Sachin Dhumale,Accepted,2025-04-10T16:40:36.436+0530,2025-04-11T19:06:32.660+0530,Falcons,"After Salary deduction, Payment is successful but showing Date & Time wrongly on UI.",Transient Bug
FE-20487,Basket is shown in track order page,Arshia,Sandhya G B,Accepted,2025-04-10T16:40:11.907+0530,2025-04-14T20:27:38.447+0530,Titans,Steps:  * Place an order * againadd skus to basket * go to track page of the previous order  Actual result:Able to to see basket PFA,Transient Bug
FE-20485,Failing or success transaction is done successfully but amount is coming as 0.00,Sachin Dhumale,Sachin Dhumale,Accepted,2025-04-10T16:05:27.808+0530,2025-04-11T18:49:57.325+0530,Avengers,Failing or success transaction is done successfully but amount is coming as 0.00,Transient Bug
FE-20484,Check-session api is throwing 401 in QA ,Girija N,Girija N,Accepted,2025-04-10T15:57:04.180+0530,2025-04-11T17:59:07.731+0530,Titans,"Check-session api is throwing 401 in QA   !image-20250410-102648.png|width=1242,height=698,alt=""""image-20250410-102648.png""""!",Transient Bug
FE-20483,Filters are not coming properly.,Sachin Dhumale,Sachin Dhumale,Accepted,2025-04-10T15:50:22.610+0530,2025-04-14T23:04:40.072+0530,Avengers,"Filters are not coming properly.  Ref:   !Screenshot_2025-04-10-15-41-35-85_1230e10b57180ad1eff2c369012b115e.jpg|width=1080,height=2400,alt=""""Screenshot_2025-04-10-15-41-35-85_1230e10b57180ad1eff2c369012b115e.jpg""""!  !Screenshot_2025-04-10-15-39-34-73_1230e10b57180ad1eff2c369012b115e.jpg|width=1080,height=2400,alt=""""Screenshot_2025-04-10-15-39-34-73_1230e10b57180ad1eff2c369012b115e.jpg""""!  cc: [~accountid:63da2b02a5d0c826306952ae]  Kindly look into this.",Transient Bug
FE-20475,PO POST API is giving 500,Khushal Dugar,Khushal Dugar,Accepted,2025-04-10T14:44:17.921+0530,2025-04-10T17:52:48.249+0530,Avengers,PO POST API is giving 500,Transient Bug
FE-20468,User able to proceed to payment page even after removing all the products from  upload prescription page,Sandhya G B,Sandhya G B,Accepted,2025-04-10T12:41:34.392+0530,2025-04-16T22:00:15.082+0530,Avengers,User able to proceed to payment page even after removing all the products from  upload prescription page   logs: [https://docs.google.com/document/d/19ckzbpacJzGbssiRyY-XlxAf_UpRxFTyJge3eDCskHo/edit?tab=t.0|https://docs.google.com/document/d/19ckzbpacJzGbssiRyY-XlxAf_UpRxFTyJge3eDCskHo/edit?tab=t.0|smart-link],Transient Bug
FE-20467,Confirm button is  grey in colour.,Sachin Dhumale,Sachin Dhumale,Accepted,2025-04-10T12:41:06.651+0530,2025-04-11T11:32:24.436+0530,Avengers,"Confirm button is  grey in colour even though selected cs confirmation after removing the cash by choosing cash payment.  for details, see the attached video.",Transient Bug
FE-20466,Cancel's popup button name needs to be corrected.,Sachin Dhumale,Sachin Dhumale,Accepted,2025-04-10T12:33:28.405+0530,2025-04-14T11:30:52.320+0530,Avengers,Cancel's popup button name needs to be corrected.,Transient Bug
FE-20464,sku still visible when active and oos in priority FC,Kirushma,Kirushma,Ready for testing,2025-04-10T11:31:24.590+0530,2025-04-21T13:17:47.968+0530,CodeMonks,"When SKU is marked as OOS and Active in priority FC (BBNow), it shouldn’t be visible. However, SKU:40297857 is visible instead of showing OOS.",Transient Bug
FE-20461,BBInstant | iOS App crashing on thank you page when click banner,SARAVANAN S,SARAVANAN S,Admin Config Change,2025-04-10T11:16:19.398+0530,2025-04-11T18:25:59.759+0530,Titans,iOS App crashing on thank you page when click banner    [^ScreenRecording_04-10-2025 11-02-55_1.MP4],Bug
FE-20460,BBInstant | Android Thank you page banner not visible,SARAVANAN S,SARAVANAN S,Duplicate Issue,2025-04-10T11:13:50.107+0530,2025-04-10T11:46:53.331+0530,Titans,Thank you page banner not visible,Bug
FE-20449,Dynamic Rate limiting alert: Traffic dropped for API: /jcart-svc/v1/shopping_list_item.,resilience,Razat Ranjan,Ready for Prod,2025-04-10T01:05:26.620+0530,2025-04-17T16:54:03.317+0530,UptimeSquad,Dynamic Rate limiting: Reason: Impacted resource/api : /jcart-svc/v1/shopping_list_item Timestamp: 2025-04-10 01:05:25  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /jcart-svc/v1/shopping_list_item Timestamp: 2025-04-11 02:25:24  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics,Bug
FE-20448,Not getting data for search and category page due to passing both key at a time,Poornima V,Poornima V,Accepted,2025-04-10T00:30:30.152+0530,2025-04-11T00:31:10.040+0530,Avengers,"Steps: Not getting data for search and category page due to passing same keys at a time. Passed key: {{""""page_type"""": """"ps"""",   """"search_qry"""": """"kellogg"""",   """"category"""": """"kellogg&page_type=PS"""",   """"isVoucherEnabled"""": false,   """"sub_page"""": """"kellogg""""}}  Expected : if {{page_type}} is {{ps}} then {{search_qry}} will come, if {{page_type}} is {{pc}} then {{category}} will come. Not at the same time.",Transient Bug
FE-20447,Banner carousel images not displaying properly in app [1360*800],Nageswara Bandi,Nageswara Bandi,Ready for testing,2025-04-09T23:30:12.965+0530,2025-04-11T20:13:53.301+0530,Avengers,"Banner carousel images not displaying properly in app [1360*800]  !Screenshot_20250409-231752.jpg|width=1080,height=2280,alt=""""Screenshot_20250409-231752.jpg""""!",Transient Bug
FE-20446,"Upon clicking on """"confirm with customer care """" getting payment status popup",Sachin Dhumale,Sachin Dhumale,Accepted,2025-04-09T20:45:42.945+0530,2025-04-10T16:38:50.903+0530,Falcons,"Upon clicking on """"confirm with customer care """" getting payment status popup",Transient Bug
FE-20445,"Upon clicking on 'call customer care', getting page which is not matching with Figma",Sachin Dhumale,Sachin Dhumale,Accepted,2025-04-09T20:23:15.792+0530,2025-04-10T12:05:20.237+0530,Avengers,"After clicking on Call customer care , online mode, we should not get this page, currently getting.",Transient Bug
FE-20444,Confirmation with customer care bottomsheet popup is cropped or truncated,Sachin Dhumale,Sachin Dhumale,Accepted,2025-04-09T20:07:33.646+0530,2025-04-11T10:18:41.647+0530,Avengers,"Confirmation with customer care bottomsheet popup is cropped or truncated  When we choose the Close Order with Cs confirmation option on COD collection page. there are 2 options,  # Call customer care #  Confirm with customer care  2nd option is getting cropped.  '",Transient Bug
FE-20443,"After clicking on regenerate QR on COD collection Page, some popup i m getting",Sachin Dhumale,Sachin Dhumale,Accepted,2025-04-09T19:58:24.472+0530,2025-04-10T12:38:02.043+0530,Titans,"[~accountid:61a8b8529615eb006f49e76f]  After clicking on regenerate the QR code on COD page, get_qr_UPI giving 400 status.  Curl:[^transaction (4).txt]   Screen shot:   !Screenshot_20250409_193920_BB Sarathi.jpg|width=1080,height=2408,alt=""""Screenshot_20250409_193920_BB Sarathi.jpg""""!    Steps to reproduce:  # Make COD Order # On COD Collection page, Click on UPI QR # wait for 5 mins # click on regenerate QR # observed the screen",Transient Bug
FE-20441,Getting 404 status in Validate Payment status API ,Sachin Dhumale,Sachin Dhumale,Accepted,2025-04-09T19:35:28.413+0530,2025-04-10T18:30:35.915+0530,Titans,"I ma getting this error while on the QR page giving 404   Curl:  URL: [https://qas31.bigbasket.com/hubops/dapi/v6/validate-payment-status/d8167f7deeb17ab6d83b|https://qas31.bigbasket.com/hubops/dapi/v6/validate-payment-status/d8167f7deeb17ab6d83b] Method: GET Protocol: h2 Status: Complete Response: 404 SSL: YesRequest time: Wed Apr 09 19:27:12 GMT+05:30 2025 Response time: Wed Apr 09 19:27:12 GMT+05:30 2025 Duration: 286 msRequest size: 0 B Response size: 53 B Total size: 53 B---------- Request ----------X-Tracker: 7d0f60ce-d7e8-4067-8c56-4225007da364 X-Uid: 716599 deviceId: a6c7cbdde592f1d2 deviceInfo: Brand:samsung,Model:SM-M336BU,SDK:34,Manufacture:samsung,Version Code:14 X-Project: cee-ledger Authorization: Bearer eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjZWVfaWQiOjcxNjU5OSwiZGV2aWNlX2lkIjoiYTZjN2NiZGRlNTkyZjFkMiIsImlhdCI6MTc0NDIwNjYzNCwiZXhwIjoxNzQ0MjEwMjM0fQ.vbweh2Ia7gAwQhrz8VRNNYBi8h2CpccWZfS89LgfqB4 X-Refresh-Token: eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJyZWZyZXNoX3Rva2VuIjoiU1lPN013TENDRHgwRUt0N09XTld1QTlyS1ZpMGVTN21HQkVjTDJxc1ZFRXpXMm0xR0tfRWRQWHpSX3NWckNhZ3M4aGJyWEJ5UXVjZnRnOWhkaUZMZzJfblEzS0Y2aFQ4Q0lEb0dMUl9sNlpneTFOS2ItaEl3OGk5OW9IZUF2d0Q2LXY2SW81alo1NHBZQWo0SUZialRxb3l3LWo4TnR3SFlZMlJsT0s2MFZySWpiSEFudmJrRUwxNW5HZU80TV94d1hrdFdKZVJGQ0pGeFpDVXF0TkVWa3FEemdyOGdRRUN0dnVPSlpQb21HOG9MNnVNUEsxNTFNaTZFc3RSN3BVZUdzeDhHcFlDcDc0TFNieHJmWUw0ZzZnMGkxZkNCNGc0VkkxelQ2czRNS1JzUU9JRkQ4QThKdThnV1VBZnQwOEY4Rk1rMzNrR0YwYmdpTVZhRm5zc1BnIiwiaWF0IjoxNzQ0MjA2NjM0LCJleHAiOjE3NDQyOTY2MzR9.QhcqeQvVRfiGjvoLuu7EPBaM-_klgHd-JroxMSqTuB0 X-Tenant-Id: 1(body is empty)---------- Response ----------date: Wed, 09 Apr 2025 13:57:12 GMT content-type: text/html; charset=utf-8 content-length: 53 content-security-policy: default-src 'self'; script-src 'self'; style-src 'self' referrer-policy: no-referrer server: nginx/1.15.8 strict-transport-security: max-age=31536000; includeSubDomains x-content-type-options: nosniff x-frame-options: DENY x-xss-protection: 1; mode=block<html><body><h1>Resource not found</h1></body></html>",Transient Bug
FE-20436,[Internal Bug] TDL Event internal server error for source id check,Hari Sunkara,Hari Sunkara,Deployed to Prod,2025-04-09T17:05:10.805+0530,2025-04-10T17:37:59.962+0530,Mavericks,"From Hulk TDL consumer we are seeing the below error:    [2025-04-09 16:49:24,560 XTID:b07de8f1-29c1-45a7-b22c-479ef9a17d25 LL:ERROR T:MainThread] [TDL-EVENT-ERROR]Error processing event => TypeError - object of type 'NoneType' has no len() : Event details = { body: '{""""customerHash"""":""""54375002d5ee600ff70c52a4a80ef719"""",""""nameDetails"""":{""""salutation"""":""""Mr"""",""""firstName"""":""""Kruthi"""",""""middleName"""":null,""""lastName"""":""""N"""",""""dateUpdated"""":""""2024-01-24 16:06:55""""},""""dob"""":null,""""primaryMobile"""":{""""isdCode"""":""""+91"""",""""phoneNumber"""":""""9481800703""""},""""[primaryEmailId"""":""""kruthi2703@gmail.com|mailto:primaryEmailId%22:%22kruthi2703@gmail.com]"""",""""activationFlag"""":""""Active"""",""""loyalCustomer"""":""""Y"""",""""tcpNumber"""":""""6333448811941307"""",""""phoneVerified"""":""""true"""",""""emailVerified"""":""""true"""",""""oldMobile"""":null,""""oldCountryCode"""":null,""""corporateEmailId"""":null,""""corporateEmailVerifiedFlag"""":null,""""memberId"""":null,""""mobileNullifiedCustomerHash"""":null,""""event_type"""":""""brand_user_profile_update"""",""""corporateUserType"""":null,""""accountMerged"""":null,""""uniqueId"""":""""b2f44741-5d4f-4a8d-87df-84d8c25db7ae"""",""""emailNullifiedCustomerHash"""":null}', properties: {b'[kafka.consumer.id|http://kafka.consumer.id]': b'dap-consumer', b'kafka.partition': b'0', b'brandsInTcp': b'bigbasket', b'fragment.identifier': b'd88f1304-e2b6-48a3-bb1b-a6cf373e9979', b'fragment.index': b'1', b'mime.type': b'application/json', b'uuid': b'c68abd84-4001-4bd1-92d8-ebff8a00fe9a', b'path': b'./', b'filename': b'8e669df1-7333-4458-ac19-00f116997eae', b'event_type': b'brand_user_profile_update', b'kafka.offset': b'22283840', b'kafka.leader.epoch': b'270', b'kafka.timestamp': b'1744195821525', b'kafka.topic': b's-orch-update-profile', b'segment.original.filename': b'8e669df1-7333-4458-ac19-00f116997eae', b'kafka.consumer.offsets.committed': b'true', b'fragment.count': b'2', b'kafka.max.offset': b'22283840', b'RouteOnAttribute.Route': b'bigbasket'}, offset: 2611372338928, sequence_number: 15811719, enqueued_time=datetime.datetime(2025, 4, 9, 11, 18, 43, 453000, tzinfo=datetime.timezone.utc) } Traceback (most recent call last): ---   File """"/srv/webapps/bigbasket.com/hulk_svc/hulk/jobs/tdl_eventhub_processor.py"""", line 823, in on_tcp_event ---     await sync_to_async(event_prosessor.process_event)(event_json=event_json) ---   File """"/srv/webapps/bigbasket.com/hulk_svc_venv/lib/python3.12/site-packages/asgiref/sync.py"""", line 435, in *call* ---     ret = await asyncio.wait_for(future, timeout=None) ---           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ ---   File """"/usr/lib/python3.12/asyncio/tasks.py"""", line 520, in wait_for ---     return await fut ---            ^^^^^^^^^ ---   File """"/usr/lib/python3.12/concurrent/futures/thread.py"""", line 59, in run ---     result = self.fn(*self.args, **self.kwargs) ---              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ ---   File """"/srv/webapps/bigbasket.com/hulk_svc_venv/lib/python3.12/site-packages/asgiref/sync.py"""", line 476, in thread_handler ---     return func(*args, **kwargs) ---            ^^^^^^^^^^^^^^^^^^^^^ ---   File """"/srv/webapps/bigbasket.com/hulk_svc/telemetry/opentelemetry.py"""", line 14, in wrapper ---     return fn(*args, **kwargs) ---            ^^^^^^^^^^^^^^^^^^^ ---   File """"/srv/webapps/bigbasket.com/hulk_svc/hulk/jobs/tdl_eventhub_processor.py"""", line 347, in process_event ---     tcp_member.get_src_member_id()) ---     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ ---   File """"/srv/webapps/bigbasket.com/hulk_svc/hulk/xternal_services/gr_client.py"""", line 323, in get_src_member_id ---     return int(self.src_member_id[0]) if len(self.src_member_id) else None ---                                          ^^^^^^^^^^^^^^^^^^^^^^^ --- TypeError: object of type 'NoneType' has no len() ---     [~accountid:62035580ed02400069a24229] as we discussed please fix this    GC Link is [here|https://app.groundcover.com/logs?start=&end=&duration=Last+24+hours&tenantUUID=05d3148d-c82e-4956-9daa-6037066b88e9&src_cluster=&src_env=&backendId=ap-south-1&sortBy=timestamp&order=desc&selectedLogId=3122313867785641029&selectedLogTimestamp=2025-04-09T11%3A19%3A24.560757476Z&fullVisibility=false&query=&filter_g_level=%3A%22error%22&filter_g_workload=%3A%22tdl-eventhub-processor-prod3-helm%22&freeText=%22object+of+type%22&logsMode=records]",Bug
FE-20434,[IOS]EC logo and place holder image is not shown in iOS  order listing,Arshia,Sandhya G B,Accepted,2025-04-09T16:59:26.086+0530,2025-04-14T21:00:12.419+0530,CodeMonks,"Steps:  * place a order with  pharma  sku :  * go to orderlistiing  page * Verify the details  Actual  result: Not Displaying bigbasket logo  no place holders are shown  PFA  !IMG_871F10DE02E9-1.jpeg|width=375,height=812,alt=""""IMG_871F10DE02E9-1.jpeg""""!",Transient Bug
FE-20433,[iOS]- -App is getting freezed when user click on Proceed payment by Virtual consulatation,Sandhya G B,Sandhya G B,Accepted,2025-04-09T16:55:26.563+0530,2025-04-14T10:38:02.861+0530,Avengers,App is getting freezed when user click on Proceed payment by Virtual consulatation   Drive link: [https://drive.google.com/drive/u/0/folders/1AxB569Rzp2VcJs5m6qP3cf-MRKVTesde|https://drive.google.com/drive/u/0/folders/1AxB569Rzp2VcJs5m6qP3cf-MRKVTesde|smart-link],Transient Bug
